rank,content_id,baseline_score,reason_code,action,impressions_90d,ctr,avg_position
140,content_7787faf11636,0.9160829422905064,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",90393,0.09,6.8
141,content_abf535d9051e,0.9160285841093612,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",132718,0.92,3.9
142,content_921f4a20c794,0.9157381842193193,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",104997,0.6,3.7
143,content_6ce7c2b03138,0.9157009863100544,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",85589,0.2,4.8
144,content_54514ebf52f9,0.9156276967846528,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",102280,0.53,4.1
145,content_cbc1694430e5,0.9155075960340282,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",98124,0.42,4.7
146,content_90e4f1f70ab4,0.9152956376432143,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",82372,0.15,4.9
147,content_d0cc5baa4995,0.9151178615830132,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",83651,0.03,6.6
148,content_84bd4d58119e,0.9150255654631947,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",83948,0.18,5.0
149,content_eb366e871254,0.9147965185056631,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",168060,0.2,16.6
150,content_353fd555c457,0.9147891400311814,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",85120,0.06,6.7
151,content_e42f510853c8,0.9147333052862744,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",90112,0.2,6.1
152,content_27ae30b15e1b,0.9147084341051568,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",125081,0.76,5.3
153,content_08547d1dc47b,0.9145407789236416,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",93233,0.32,5.4
154,content_6f81ccd92b64,0.9145343741538963,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",73675,0.19,2.9
155,content_e1501cdeca69,0.9144546366283384,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",96467,0.48,4.2
156,content_45bb4107ad33,0.9143157543747633,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",94643,0.36,5.3
157,content_fca1bf3940c0,0.9139915841044273,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",86170,0.33,4.2
158,content_ed130d02c76d,0.9139765631027053,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",91825,0.39,4.6
159,content_4a18c07e5357,0.9139474653321187,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",125049,0.86,4.5
160,content_1935a0f59861,0.9138272395267598,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",111593,0.36,8.3
161,content_16a7b0f885b6,0.913804465188564,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",84733,0.18,5.7
162,content_e6bf0c222159,0.9136927443280344,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",127291,0.87,4.8
163,content_9b934e3e7101,0.9136898930886577,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",106384,0.4,7.1
164,content_9a94cd623d35,0.9136798516789006,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",88206,0.28,5.3
165,content_56539df4f33d,0.9135638216680575,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",87492,0.44,3.4
166,content_aee6abc99c75,0.9131592736712971,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",79076,0.12,5.5
167,content_883bde738778,0.9130682067961085,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",88981,0.22,6.4
168,content_b3152ebe9e7e,0.9130504170292634,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",92629,0.21,7.2
169,content_fb6a65a234fb,0.9129251449809951,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",91852,0.22,7.0
170,content_c51c2c78ee1c,0.91281218335763,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",83070,0.11,6.6
171,content_af440076ef0d,0.9127413182117615,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",87907,0.25,6.0
172,content_51767c5c4b85,0.9126947090390435,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",86386,0.12,7.2
173,content_82572b951646,0.9126190379088612,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",80655,0.25,4.6
174,content_3ad3a781fa91,0.912397277083107,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",145044,1.08,5.2
175,content_c445c6445415,0.9123925007031254,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",106334,0.75,3.7
176,content_f0aad930f507,0.9123688947446521,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",73457,0.05,5.4
177,content_de0a7d3512ed,0.9122551197478399,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",80263,0.16,5.7
178,content_a20c25627ed7,0.9118058076181824,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",89007,0.12,8.1
179,content_d041ef6f65ca,0.9117789724113228,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",78950,0.11,6.2
180,content_a39bd9504ea0,0.9117702327615501,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",105306,0.61,5.4
181,content_09783793b38d,0.9114621697108929,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",66048,0.13,3.1
182,content_0bebf38cb9b3,0.911041208670271,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",82059,0.17,6.5
183,content_a8c35eeef547,0.9109385296961927,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",82428,0.41,3.9
